"Gene","Chromosome","Arm","Cytoband","Start","ChrArm"
"LINC02552","Chr11","q","11q22.3",104445868,"Chr11q"
"CASP12","Chr11","q","11q22.3",104885718,"Chr11q"
"CASP12P1","Chr11","q","11q22.3",104885718,"Chr11q"
"CASP4LP","Chr11","q","11q22.3",104901549,"Chr11q"
"CASP17P","Chr11","q","11q22.3",104901549,"Chr11q"
"CASP4","Chr11","q","11q22.3",104942866,"Chr11q"
"ICE(REL)II","Chr11","q","11q22.3",104942866,"Chr11q"
"ICH-2","Chr11","q","11q22.3",104942866,"Chr11q"
"TX","Chr11","q","11q22.3",104942866,"Chr11q"
"CASP5","Chr11","q","11q22.3",104994235,"Chr11q"
"ICE(REL)III","Chr11","q","11q22.3",104994235,"Chr11q"
"CASP1","Chr11","q","11q22.3",105025397,"Chr11q"
"ICE","Chr11","q","11q22.3",105025397,"Chr11q"
"IL1BC","Chr11","q","11q22.3",105025397,"Chr11q"
"CARD16","Chr11","q","11q22.3",105041326,"Chr11q"
"COP","Chr11","q","11q22.3",105041326,"Chr11q"
"LLID-114769","Chr11","q","11q22.3",105041326,"Chr11q"
"PSEUDO-ICE","Chr11","q","11q22.3",105041326,"Chr11q"
"CASP1P2","Chr11","q","11q22.3",105063345,"Chr11q"
"CARD17P","Chr11","q","11q22.3",105092486,"Chr11q"
"CARD17","Chr11","q","11q22.3",105092486,"Chr11q"
"INCA","Chr11","q","11q22.3",105092486,"Chr11q"
"CASP1P1","Chr11","q","11q22.3",105122661,"Chr11q"
"CARD18","Chr11","q","11q22.3",105137714,"Chr11q"
"ICEBERG","Chr11","q","11q22.3",105137714,"Chr11q"
"UNQ5804","Chr11","q","11q22.3",105137714,"Chr11q"
"OR2AL1P","Chr11","q","11q22.3",105194440,"Chr11q"
"GRIA4","Chr11","q","11q22.3",105609535,"Chr11q"
"GLUA4","Chr11","q","11q22.3",105609535,"Chr11q"
"GLUR-4","Chr11","q","11q22.3",105609535,"Chr11q"
"GLUR-D","Chr11","q","11q22.3",105609535,"Chr11q"
"GLUR4","Chr11","q","11q22.3",105609535,"Chr11q"
"GLUR4C","Chr11","q","11q22.3",105609535,"Chr11q"
"GLURD","Chr11","q","11q22.3",105609535,"Chr11q"
"HSPD1P13","Chr11","q","11q22.3",105706299,"Chr11q"
"HSPD1-16P","Chr11","q","11q22.3",105706299,"Chr11q"
"RNU4-55P","Chr11","q","11q22.3",105824634,"Chr11q"
"RNU6-277P","Chr11","q","11q22.3",105974826,"Chr11q"
"MSANTD4","Chr11","q","11q22.3",105995623,"Chr11q"
"KIAA1826","Chr11","q","11q22.3",105995623,"Chr11q"
"KBTBD3","Chr11","q","11q22.3",106051098,"Chr11q"
"BKLHD3","Chr11","q","11q22.3",106051098,"Chr11q"
"AASDHPPT","Chr11","q","11q22.3",106075501,"Chr11q"
"AASD-PPT","Chr11","q","11q22.3",106075501,"Chr11q"
"ACPS","Chr11","q","11q22.3",106075501,"Chr11q"
"CGI-80","Chr11","q","11q22.3",106075501,"Chr11q"
"LYS5","Chr11","q","11q22.3",106075501,"Chr11q"
"LINC02719","Chr11","q","11q22.3",106112459,"Chr11q"
"GUCY1A2","Chr11","q","11q22.3",106674019,"Chr11q"
"GC-SA2","Chr11","q","11q22.3",106674019,"Chr11q"
"GUC1A2","Chr11","q","11q22.3",106674019,"Chr11q"
"ASS1P13","Chr11","q","11q22.3",107176286,"Chr11q"
"ASSP13","Chr11","q","11q22.3",107176286,"Chr11q"
"CWF19L2","Chr11","q","11q22.3",107326360,"Chr11q"
"FLJ32343","Chr11","q","11q22.3",107326360,"Chr11q"
"SMARCE1P1","Chr11","q","11q22.3",107403404,"Chr11q"
"ALKBH8","Chr11","q","11q22.3",107502727,"Chr11q"
"MGC10235","Chr11","q","11q22.3",107502727,"Chr11q"
"TRM9","Chr11","q","11q22.3",107502727,"Chr11q"
"TRMT9A","Chr11","q","11q22.3",107502727,"Chr11q"
"ELMOD1","Chr11","q","11q22.3",107591091,"Chr11q"
"DKFZP547C176","Chr11","q","11q22.3",107591091,"Chr11q"
"METTL5P4","Chr11","q","11q22.3",107600379,"Chr11q"
"SLN","Chr11","q","11q22.3",107707378,"Chr11q"
"MGC12301","Chr11","q","11q22.3",107707378,"Chr11q"
"MGC125854","Chr11","q","11q22.3",107707378,"Chr11q"
"MGC125855","Chr11","q","11q22.3",107707378,"Chr11q"
"SLC35F2","Chr11","q","11q22.3",107790991,"Chr11q"
"FLJ13018","Chr11","q","11q22.3",107790991,"Chr11q"
"RAB39A","Chr11","q","11q22.3",107928448,"Chr11q"
"RAB39","Chr11","q","11q22.3",107928448,"Chr11q"
"CUL5","Chr11","q","11q22.3",108008898,"Chr11q"
"VACM-1","Chr11","q","11q22.3",108008898,"Chr11q"
"THIL","Chr11","q","11q22.3",108116695,"Chr11q"
"NPAT","Chr11","q","11q22.3",108157215,"Chr11q"
"E14","Chr11","q","11q22.3",108157215,"Chr11q"
"ATM","Chr11","q","11q22.3",108222823,"Chr11q"
"ATA","Chr11","q","11q22.3",108222823,"Chr11q"
"ATC","Chr11","q","11q22.3",108222823,"Chr11q"
"ATD","Chr11","q","11q22.3",108222823,"Chr11q"
"ATDC","Chr11","q","11q22.3",108222823,"Chr11q"
"TEL1","Chr11","q","11q22.3",108222823,"Chr11q"
"TELO1","Chr11","q","11q22.3",108222823,"Chr11q"
"C11ORF65","Chr11","q","11q22.3",108308519,"Chr11q"
"MFI","Chr11","q","11q22.3",108308519,"Chr11q"
"MGC33948","Chr11","q","11q22.3",108308519,"Chr11q"
"POGLUT3","Chr11","q","11q22.3",108472112,"Chr11q"
"KDELC2","Chr11","q","11q22.3",108472112,"Chr11q"
"MGC33424","Chr11","q","11q22.3",108472112,"Chr11q"
"EXPH5","Chr11","q","11q22.3",108505435,"Chr11q"
"SLAC2-B","Chr11","q","11q22.3",108505435,"Chr11q"
"DDX10","Chr11","q","11q22.3",108665058,"Chr11q"
"DBP4","Chr11","q","11q22.3",108665058,"Chr11q"
"HRH-J8","Chr11","q","11q22.3",108665058,"Chr11q"
"RPS2P39","Chr11","q","11q22.3",108690289,"Chr11q"
"CYCSP29","Chr11","q","11q22.3",108822333,"Chr11q"
"HCP29","Chr11","q","11q22.3",108822333,"Chr11q"
"RNU6-654P","Chr11","q","11q22.3",109005517,"Chr11q"
"RNA5SP349","Chr11","q","11q22.3",109120878,"Chr11q"
"RN5S349","Chr11","q","11q22.3",109120878,"Chr11q"
"C11ORF87","Chr11","q","11q22.3",109422190,"Chr11q"
"LOC399947","Chr11","q","11q22.3",109422190,"Chr11q"
"LOH11CR1A","Chr11","q","11q22.3",109422190,"Chr11q"
"NEURIM1","Chr11","q","11q22.3",109422190,"Chr11q"
"LINC02715","Chr11","q","11q22.3",109741625,"Chr11q"
"RDX","Chr11","q","11q22.3",109864295,"Chr11q"
"DFNB24","Chr11","q","11q22.3",109864295,"Chr11q"
"TFAMP2","Chr11","q","11q22.3",109907004,"Chr11q"
"TCF6L3","Chr11","q","11q22.3",109907004,"Chr11q"
"RPSAP50","Chr11","q","11q22.3",109982192,"Chr11q"
"ZC3H12C","Chr11","q","11q22.3",110093392,"Chr11q"
"KIAA1726","Chr11","q","11q22.3",110093392,"Chr11q"
"MCPIP3","Chr11","q","11q22.3",110093392,"Chr11q"
"LINC02732","Chr11","q","11q22.3",110355130,"Chr11q"
"FDX1","Chr11","q","11q22.3",110429948,"Chr11q"
"ADX","Chr11","q","11q22.3",110429948,"Chr11q"
"FDX","Chr11","q","11q22.3",110429948,"Chr11q"
"ARHGAP20","Chr11","q","11q23.1",110577042,"Chr11q"
"KIAA1391","Chr11","q","11q23.1",110577042,"Chr11q"
"HNRNPA1P60","Chr11","q","11q23.1",110788026,"Chr11q"
"RNA5SP350","Chr11","q","11q23.1",111040098,"Chr11q"
"RN5S350","Chr11","q","11q23.1",111040098,"Chr11q"
"LINC02550","Chr11","q","11q23.1",111091932,"Chr11q"
"RPS17P15","Chr11","q","11q23.1",111105547,"Chr11q"
"POU2AF2","Chr11","q","11q23.1",111245725,"Chr11q"
"C11ORF53","Chr11","q","11q23.1",111245725,"Chr11q"
"MGC50104","Chr11","q","11q23.1",111245725,"Chr11q"
"OCA-T1","Chr11","q","11q23.1",111245725,"Chr11q"
"COLCA1","Chr11","q","11q23.1",111290787,"Chr11q"
"C11ORF92","Chr11","q","11q23.1",111290787,"Chr11q"
"CASC12","Chr11","q","11q23.1",111290787,"Chr11q"
"FLJ45803","Chr11","q","11q23.1",111290787,"Chr11q"
"POU2AF3","Chr11","q","11q23.1",111298546,"Chr11q"
"C11ORF93","Chr11","q","11q23.1",111298546,"Chr11q"
"CASC13","Chr11","q","11q23.1",111298546,"Chr11q"
"COLCA2","Chr11","q","11q23.1",111298546,"Chr11q"
"OCA-T2","Chr11","q","11q23.1",111298546,"Chr11q"
"MIR4491","Chr11","q","11q23.1",111347757,"Chr11q"
"HSA-MIR-4491","Chr11","q","11q23.1",111347757,"Chr11q"
"POU2AF1","Chr11","q","11q23.1",111352255,"Chr11q"
"BOB1","Chr11","q","11q23.1",111352255,"Chr11q"
"OBF1","Chr11","q","11q23.1",111352255,"Chr11q"
"OCA-B","Chr11","q","11q23.1",111352255,"Chr11q"
"RNU2-60P","Chr11","q","11q23.1",111383092,"Chr11q"
"BTG4","Chr11","q","11q23.1",111467526,"Chr11q"
"APRO3","Chr11","q","11q23.1",111467526,"Chr11q"
"PC3B","Chr11","q","11q23.1",111467526,"Chr11q"
"MIR34BHG","Chr11","q","11q23.1",111510600,"Chr11q"
"SPARCLE","Chr11","q","11q23.1",111510600,"Chr11q"
"MIR34B","Chr11","q","11q23.1",111512938,"Chr11q"
"HSA-MIR-34B","Chr11","q","11q23.1",111512938,"Chr11q"
"MIRN34B","Chr11","q","11q23.1",111512938,"Chr11q"
"MIR34C","Chr11","q","11q23.1",111513439,"Chr11q"
"HSA-MIR-34C","Chr11","q","11q23.1",111513439,"Chr11q"
"MIRN34C","Chr11","q","11q23.1",111513439,"Chr11q"
"HOATZ","Chr11","q","11q23.1",111514778,"Chr11q"
"C11ORF88","Chr11","q","11q23.1",111514778,"Chr11q"
"FLJ46266","Chr11","q","11q23.1",111514778,"Chr11q"
"LAYN","Chr11","q","11q23.1",111540280,"Chr11q"
"FLJ30977","Chr11","q","11q23.1",111540280,"Chr11q"
"FLJ31092","Chr11","q","11q23.1",111540280,"Chr11q"
"SIK2","Chr11","q","11q23.1",111602449,"Chr11q"
"DKFZP434K1115","Chr11","q","11q23.1",111602449,"Chr11q"
"KIAA0781","Chr11","q","11q23.1",111602449,"Chr11q"
"LOH11CR1I","Chr11","q","11q23.1",111602449,"Chr11q"
"QIK","Chr11","q","11q23.1",111602449,"Chr11q"
"SNF1LK2","Chr11","q","11q23.1",111602449,"Chr11q"
"RN7SKP273","Chr11","q","11q23.1",111683111,"Chr11q"
"PPP2R1B","Chr11","q","11q23.1",111726908,"Chr11q"
"PP2A-ABETA","Chr11","q","11q23.1",111726908,"Chr11q"
"PR65B","Chr11","q","11q23.1",111726908,"Chr11q"
"ALG9","Chr11","q","11q23.1",111782195,"Chr11q"
"DIBD1","Chr11","q","11q23.1",111782195,"Chr11q"
"ALG9-IT1","Chr11","q","11q23.1",111817214,"Chr11q"
"GNG5P3","Chr11","q","11q23.1",111864254,"Chr11q"
"FDXACB1","Chr11","q","11q23.1",111874056,"Chr11q"
"HCG_2033039","Chr11","q","11q23.1",111874056,"Chr11q"
"LOC91893","Chr11","q","11q23.1",111874056,"Chr11q"
"CFAP68","Chr11","q","11q23.1",111878935,"Chr11q"
"C11ORF1","Chr11","q","11q23.1",111878935,"Chr11q"
"FLJ23499","Chr11","q","11q23.1",111878935,"Chr11q"
"RPL37AP8","Chr11","q","11q23.1",111889199,"Chr11q"
"CRYAB","Chr11","q","11q23.1",111908564,"Chr11q"
"CRYA2","Chr11","q","11q23.1",111908564,"Chr11q"
"HSPB5","Chr11","q","11q23.1",111908564,"Chr11q"
"HEL-S-101","Chr11","q","11q23.1",111908564,"Chr11q"
"HSPB2","Chr11","q","11q23.1",111912734,"Chr11q"
"HS.78846","Chr11","q","11q23.1",111912734,"Chr11q"
"MKBP","Chr11","q","11q23.1",111912734,"Chr11q"
"HSPB2-C11ORF52","Chr11","q","11q23.1",111912736,"Chr11q"
"C11ORF52","Chr11","q","11q23.1",111918032,"Chr11q"
"FLJ25219","Chr11","q","11q23.1",111918032,"Chr11q"
"MGC14839","Chr11","q","11q23.1",111918032,"Chr11q"
"DIXDC1","Chr11","q","11q23.1",111927144,"Chr11q"
"DIXIN","Chr11","q","11q23.1",111927144,"Chr11q"
"KIAA1735","Chr11","q","11q23.1",111927144,"Chr11q"
"RNA5SP351","Chr11","q","11q23.1",111928400,"Chr11q"
"RN5S351","Chr11","q","11q23.1",111928400,"Chr11q"
"DLAT","Chr11","q","11q23.1",112025033,"Chr11q"
"DLTA","Chr11","q","11q23.1",112025033,"Chr11q"
"PDC-E2","Chr11","q","11q23.1",112025033,"Chr11q"
"PPIHP1","Chr11","q","11q23.1",112029858,"Chr11q"
"RNU6-893P","Chr11","q","11q23.1",112032499,"Chr11q"
"PIH1D2","Chr11","q","11q23.1",112063218,"Chr11q"
"DNAAF15","Chr11","q","11q23.1",112063218,"Chr11q"
"NKAPD1","Chr11","q","11q23.1",112074086,"Chr11q"
"C11ORF57","Chr11","q","11q23.1",112074086,"Chr11q"
"FLJ10726","Chr11","q","11q23.1",112074086,"Chr11q"
"C11ORF57","Chr11","q","11q23.1",112074086,"Chr11q"
"TIMM8B","Chr11","q","11q23.1",112084800,"Chr11q"
"DDP2","Chr11","q","11q23.1",112084800,"Chr11q"
"FLJ21744","Chr11","q","11q23.1",112084800,"Chr11q"
"MGC102866","Chr11","q","11q23.1",112084800,"Chr11q"
"MGC117373","Chr11","q","11q23.1",112084800,"Chr11q"
"TIM8B","Chr11","q","11q23.1",112084800,"Chr11q"
"SDHD","Chr11","q","11q23.1",112086824,"Chr11q"
"CYBS","Chr11","q","11q23.1",112086824,"Chr11q"
"PGL","Chr11","q","11q23.1",112086824,"Chr11q"
"PGL1","Chr11","q","11q23.1",112086824,"Chr11q"
"IL18","Chr11","q","11q23.1",112143253,"Chr11q"
"IGIF","Chr11","q","11q23.1",112143253,"Chr11q"
"IL-18","Chr11","q","11q23.1",112143253,"Chr11q"
"IL-1G","Chr11","q","11q23.1",112143253,"Chr11q"
"IL1F4","Chr11","q","11q23.1",112143253,"Chr11q"
"TEX12","Chr11","q","11q23.1",112167372,"Chr11q"
"BCO2","Chr11","q","11q23.1",112175510,"Chr11q"
"B-DIOX-II","Chr11","q","11q23.1",112175510,"Chr11q"
"BCDO2","Chr11","q","11q23.1",112175510,"Chr11q"
"FLJ34464","Chr11","q","11q23.1",112175510,"Chr11q"
"KCTD9P4","Chr11","q","11q23.1",112180773,"Chr11q"
"MRPS36P4","Chr11","q","11q23.1",112208601,"Chr11q"
"RPS12P21","Chr11","q","11q23.1",112218326,"Chr11q"
"PTS","Chr11","q","11q23.1",112226367,"Chr11q"
"PTPS","Chr11","q","11q23.1",112226367,"Chr11q"
"RPS6P16","Chr11","q","11q23.1",112235371,"Chr11q"
"PLET1","Chr11","q","11q23.1",112248153,"Chr11q"
"C11ORF34","Chr11","q","11q23.1",112248153,"Chr11q"
"ST13P10","Chr11","q","11q23.1",112267290,"Chr11q"
"LINC02762","Chr11","q","11q23.1",112270748,"Chr11q"
"RNU6-44P","Chr11","q","11q23.1",112352556,"Chr11q"
"RNU6-44","Chr11","q","11q23.1",112352556,"Chr11q"
"LINC02763","Chr11","q","11q23.1",112393118,"Chr11q"
"RP11-65M17.3","Chr11","q","11q23.1",112393118,"Chr11q"
"RPL23AP62","Chr11","q","11q23.1",112461468,"Chr11q"
"LINC02764","Chr11","q","11q23.1",112534220,"Chr11q"
"NCAM1","Chr11","q","11q23.2",112961275,"Chr11q"
"CD56","Chr11","q","11q23.2",112961275,"Chr11q"
"NCAM","Chr11","q","11q23.2",112961275,"Chr11q"
"RNU7-187P","Chr11","q","11q23.2",112977353,"Chr11q"
"NCAM1-AS1","Chr11","q","11q23.2",113265137,"Chr11q"
"TTC12-DT","Chr11","q","11q23.2",113278250,"Chr11q"
"TTC12","Chr11","q","11q23.2",113314579,"Chr11q"
"FLJ13859","Chr11","q","11q23.2",113314579,"Chr11q"
"FLJ20535","Chr11","q","11q23.2",113314579,"Chr11q"
"TPARM","Chr11","q","11q23.2",113314579,"Chr11q"
"ANKK1","Chr11","q","11q23.2",113387779,"Chr11q"
"X-KINASE","Chr11","q","11q23.2",113387779,"Chr11q"
"DRD2","Chr11","q","11q23.2",113409605,"Chr11q"
"MIR4301","Chr11","q","11q23.2",113450023,"Chr11q"
"HSA-MIR-4301","Chr11","q","11q23.2",113450023,"Chr11q"
"TMPRSS5","Chr11","q","11q23.2",113687547,"Chr11q"
"MGC141886","Chr11","q","11q23.2",113687547,"Chr11q"
"MGC148044","Chr11","q","11q23.2",113687547,"Chr11q"
"MTRF1LP1","Chr11","q","11q23.2",113711720,"Chr11q"
"ZW10","Chr11","q","11q23.2",113733187,"Chr11q"
"KNTC1AP","Chr11","q","11q23.2",113733187,"Chr11q"
"RPS29P19","Chr11","q","11q23.2",113751116,"Chr11q"
"CLDN25","Chr11","q","11q23.2",113779796,"Chr11q"
"ATF4P4","Chr11","q","11q23.2",113790318,"Chr11q"
"ATF4B","Chr11","q","11q23.2",113790318,"Chr11q"
"LRRC37A13P","Chr11","q","11q23.2",113791466,"Chr11q"
"USP28","Chr11","q","11q23.2",113797874,"Chr11q"
"KIAA1515","Chr11","q","11q23.2",113797874,"Chr11q"
"RNU6-1107P","Chr11","q","11q23.2",113859346,"Chr11q"
"HTR3B","Chr11","q","11q23.2",113904796,"Chr11q"
"5-HT3B","Chr11","q","11q23.2",113904796,"Chr11q"
"HTR3A","Chr11","q","11q23.2",113975075,"Chr11q"
"5-HT3A","Chr11","q","11q23.2",113975075,"Chr11q"
"5-HT3R","Chr11","q","11q23.2",113975075,"Chr11q"
"ZBTB16","Chr11","q","11q23.2",114059041,"Chr11q"
"PLZF","Chr11","q","11q23.2",114059041,"Chr11q"
"ZNF145","Chr11","q","11q23.2",114059041,"Chr11q"
"NNMT","Chr11","q","11q23.2",114257787,"Chr11q"
"C11ORF71","Chr11","q","11q23.2",114391443,"Chr11q"
"FLJ20010","Chr11","q","11q23.2",114391443,"Chr11q"
"URLC7","Chr11","q","11q23.2",114391443,"Chr11q"
"RBM7","Chr11","q","11q23.2",114400030,"Chr11q"
"REXO2","Chr11","q","11q23.2",114439435,"Chr11q"
"CGI-114","Chr11","q","11q23.2",114439435,"Chr11q"
"DKFZP566E144","Chr11","q","11q23.2",114439435,"Chr11q"
"NXPE2P1","Chr11","q","11q23.2",114512706,"Chr11q"
"NXPE1","Chr11","q","11q23.2",114518934,"Chr11q"
"FAM55A","Chr11","q","11q23.2",114518934,"Chr11q"
"MGC34290","Chr11","q","11q23.2",114518934,"Chr11q"
"NXPE4","Chr11","q","11q23.2",114570591,"Chr11q"
"C11ORF33","Chr11","q","11q23.2",114570591,"Chr11q"
"FAM55D","Chr11","q","11q23.2",114570591,"Chr11q"
"FLJ20127","Chr11","q","11q23.2",114570591,"Chr11q"
"NXPE2","Chr11","q","11q23.3",114678527,"Chr11q"
"FAM55B","Chr11","q","11q23.3",114678527,"Chr11q"
"FLJ25224","Chr11","q","11q23.3",114678527,"Chr11q"
"CADM1","Chr11","q","11q23.3",115169218,"Chr11q"
"BL2","Chr11","q","11q23.3",115169218,"Chr11q"
"IGSF4","Chr11","q","11q23.3",115169218,"Chr11q"
"IGSF4A","Chr11","q","11q23.3",115169218,"Chr11q"
"NECL-2","Chr11","q","11q23.3",115169218,"Chr11q"
"NECL2","Chr11","q","11q23.3",115169218,"Chr11q"
"RA175","Chr11","q","11q23.3",115169218,"Chr11q"
"ST17","Chr11","q","11q23.3",115169218,"Chr11q"
"SYNCAM","Chr11","q","11q23.3",115169218,"Chr11q"
"SYNCAM1","Chr11","q","11q23.3",115169218,"Chr11q"
"TSLC1","Chr11","q","11q23.3",115169218,"Chr11q"
"CADM1-AS1","Chr11","q","11q23.3",115396756,"Chr11q"
"RPL12P46","Chr11","q","11q23.3",115578049,"Chr11q"
"LINC02698","Chr11","q","11q23.3",115659658,"Chr11q"
"LINC00900","Chr11","q","11q23.3",115753889,"Chr11q"
"LINC02703","Chr11","q","11q23.3",115920248,"Chr11q"
"RPL15P15","Chr11","q","11q23.3",115950196,"Chr11q"
"LINC02151","Chr11","q","11q23.3",116496568,"Chr11q"
"TCONS_00019174","Chr11","q","11q23.3",116496568,"Chr11q"
"LINC02702","Chr11","q","11q23.3",116639422,"Chr11q"
"LASER","Chr11","q","11q23.3",116639422,"Chr11q"
"BUD13","Chr11","q","11q23.3",116748170,"Chr11q"
"CWC26","Chr11","q","11q23.3",116748170,"Chr11q"
"FSAP71","Chr11","q","11q23.3",116748170,"Chr11q"
"MGC13125","Chr11","q","11q23.3",116748170,"Chr11q"
"BUD13-DT","Chr11","q","11q23.3",116773389,"Chr11q"
"ZPR1","Chr11","q","11q23.3",116773799,"Chr11q"
"ZNF259","Chr11","q","11q23.3",116773799,"Chr11q"
"APOA5","Chr11","q","11q23.3",116789367,"Chr11q"
"APOA-V","Chr11","q","11q23.3",116789367,"Chr11q"
"RAP3","Chr11","q","11q23.3",116789367,"Chr11q"
"LNC-RHL1","Chr11","q","11q23.3",116813204,"Chr11q"
"LNC-RHL","Chr11","q","11q23.3",116813204,"Chr11q"
"APOA4","Chr11","q","11q23.3",116820700,"Chr11q"
"APOC3","Chr11","q","11q23.3",116829706,"Chr11q"
"APO-C3","Chr11","q","11q23.3",116829706,"Chr11q"
"APO-CIII","Chr11","q","11q23.3",116829706,"Chr11q"
"APOC-3","Chr11","q","11q23.3",116829706,"Chr11q"
"APOC-III","Chr11","q","11q23.3",116829706,"Chr11q"
"APOCIII","Chr11","q","11q23.3",116829706,"Chr11q"
"APOA1","Chr11","q","11q23.3",116835751,"Chr11q"
"APOA1-AS","Chr11","q","11q23.3",116836117,"Chr11q"
"SIK3","Chr11","q","11q23.3",116843402,"Chr11q"
"FLJ12240","Chr11","q","11q23.3",116843402,"Chr11q"
"KIAA0999","Chr11","q","11q23.3",116843402,"Chr11q"
"QSK","Chr11","q","11q23.3",116843402,"Chr11q"
"RNY4P6","Chr11","q","11q23.3",117015897,"Chr11q"
"RPS27P19","Chr11","q","11q23.3",117035797,"Chr11q"
"PAFAH1B2","Chr11","q","11q23.3",117144284,"Chr11q"
"HEL-S-303","Chr11","q","11q23.3",117144284,"Chr11q"
"SIDT2","Chr11","q","11q23.3",117178736,"Chr11q"
"CGI-40","Chr11","q","11q23.3",117178736,"Chr11q"
"TAGLN","Chr11","q","11q23.3",117199370,"Chr11q"
"DKFZP686P11128","Chr11","q","11q23.3",117199370,"Chr11q"
"SM22","Chr11","q","11q23.3",117199370,"Chr11q"
"SMCC","Chr11","q","11q23.3",117199370,"Chr11q"
"TAGLN1","Chr11","q","11q23.3",117199370,"Chr11q"
"WS3-10","Chr11","q","11q23.3",117199370,"Chr11q"
"PCSK7","Chr11","q","11q23.3",117204337,"Chr11q"
"LPC","Chr11","q","11q23.3",117204337,"Chr11q"
"PC7","Chr11","q","11q23.3",117204337,"Chr11q"
"PC8","Chr11","q","11q23.3",117204337,"Chr11q"
"SPC7","Chr11","q","11q23.3",117204337,"Chr11q"
"RNF214","Chr11","q","11q23.3",117232625,"Chr11q"
"DKFZP547C195","Chr11","q","11q23.3",117232625,"Chr11q"
"DKFZP547C195","Chr11","q","11q23.3",117232625,"Chr11q"
"BACE1","Chr11","q","11q23.3",117285232,"Chr11q"
"BACE","Chr11","q","11q23.3",117285232,"Chr11q"
"BACE1-AS","Chr11","q","11q23.3",117288453,"Chr11q"
"BACE1-AS1","Chr11","q","11q23.3",117288453,"Chr11q"
"BACE1AS","Chr11","q","11q23.3",117288453,"Chr11q"
"FJ573250","Chr11","q","11q23.3",117288453,"Chr11q"
"NCRNA00177","Chr11","q","11q23.3",117288453,"Chr11q"
"CEP164","Chr11","q","11q23.3",117314557,"Chr11q"
"KIAA1052","Chr11","q","11q23.3",117314557,"Chr11q"
"NPHP15","Chr11","q","11q23.3",117314557,"Chr11q"
"PRR13P3","Chr11","q","11q23.3",117336256,"Chr11q"
"DSCAML1","Chr11","q","11q23.3",117427772,"Chr11q"
"KIAA1132","Chr11","q","11q23.3",117427772,"Chr11q"
"FXYD2","Chr11","q","11q23.3",117800844,"Chr11q"
"ATP1G1","Chr11","q","11q23.3",117800844,"Chr11q"
"HOMG2","Chr11","q","11q23.3",117800844,"Chr11q"
"MGC12372","Chr11","q","11q23.3",117800844,"Chr11q"
"FXYD6-FXYD2","Chr11","q","11q23.3",117820163,"Chr11q"
"FXYD6-AS1","Chr11","q","11q23.3",117833719,"Chr11q"
"FXYD6","Chr11","q","11q23.3",117836976,"Chr11q"
"TMPRSS13","Chr11","q","11q23.3",117900641,"Chr11q"
"MSPL","Chr11","q","11q23.3",117900641,"Chr11q"
"MSPS","Chr11","q","11q23.3",117900641,"Chr11q"
"TMPRSS11","Chr11","q","11q23.3",117900641,"Chr11q"
"IL10RA","Chr11","q","11q23.3",117986370,"Chr11q"
"CD210","Chr11","q","11q23.3",117986370,"Chr11q"
"CD210A","Chr11","q","11q23.3",117986370,"Chr11q"
"CDW210A","Chr11","q","11q23.3",117986370,"Chr11q"
"HIL-10R","Chr11","q","11q23.3",117986370,"Chr11q"
"IL10R","Chr11","q","11q23.3",117986370,"Chr11q"
"SMIM35","Chr11","q","11q23.3",118003634,"Chr11q"
"TMPRSS4-AS1","Chr11","q","11q23.3",118003634,"Chr11q"
"RN7SL828P","Chr11","q","11q23.3",118067237,"Chr11q"
"TMPRSS4","Chr11","q","11q23.3",118077012,"Chr11q"
"MT-SP2","Chr11","q","11q23.3",118077012,"Chr11q"
"TMPRSS3","Chr11","q","11q23.3",118077012,"Chr11q"
"SCN4B","Chr11","q","11q23.3",118133377,"Chr11q"
"LQT10","Chr11","q","11q23.3",118133377,"Chr11q"
"SCN2B","Chr11","q","11q23.3",118162806,"Chr11q"
"JAML","Chr11","q","11q23.3",118193725,"Chr11q"
"AMICA","Chr11","q","11q23.3",118193725,"Chr11q"
"AMICA1","Chr11","q","11q23.3",118193725,"Chr11q"
"GM638","Chr11","q","11q23.3",118193725,"Chr11q"
"HSPE1P18","Chr11","q","11q23.3",118208932,"Chr11q"
"MPZL3","Chr11","q","11q23.3",118226690,"Chr11q"
"MPZL2","Chr11","q","11q23.3",118253416,"Chr11q"
"EVA","Chr11","q","11q23.3",118253416,"Chr11q"
"EVA1","Chr11","q","11q23.3",118253416,"Chr11q"
"CD3E","Chr11","q","11q23.3",118304730,"Chr11q"
"CD3-EPSILON","Chr11","q","11q23.3",118304730,"Chr11q"
"CD3EPSILON","Chr11","q","11q23.3",118304730,"Chr11q"
"CD3D","Chr11","q","11q23.3",118339075,"Chr11q"
"CD3-DELTA","Chr11","q","11q23.3",118339075,"Chr11q"
"CD3DELTA","Chr11","q","11q23.3",118339075,"Chr11q"
"T3D","Chr11","q","11q23.3",118339075,"Chr11q"
"CD3-GAMMA","Chr11","q","11q23.3",118344344,"Chr11q"
"CD3GAMMA","Chr11","q","11q23.3",118344344,"Chr11q"
"UBE4A","Chr11","q","11q23.3",118359600,"Chr11q"
"KIAA0126","Chr11","q","11q23.3",118359600,"Chr11q"
"UBOX2","Chr11","q","11q23.3",118359600,"Chr11q"
"ATP5MG","Chr11","q","11q23.3",118401346,"Chr11q"
"ATP5JG","Chr11","q","11q23.3",118401346,"Chr11q"
"ATP5L","Chr11","q","11q23.3",118401346,"Chr11q"
